seller,buyer,post_id,buyer_comment_id,seller_comment_id,buyer_comment_time,seller_comment_time,rule,confidence,confidence_score
pandeesh,Mandalahashberry,1qzu6ny,o4dnpt3,o4dzfr7,2026-02-09 04:18:25+00:00,2026-02-09 05:43:16+00:00,seller_confirmed,high,1.0
pandeesh,ConeBone-69,1qzu6ny,o4e5p54,o4g1ai3,2026-02-09 06:35:39+00:00,2026-02-09 15:21:22+00:00,seller_confirmed,high,1.0
ZekNaemazza,Grape_Academic,1qztnv6,o4dxcb0,o4e6mal,2026-02-09 05:26:49+00:00,2026-02-09 06:43:45+00:00,seller_confirmed,high,1.0
zenpathfinder,kamarian91,1qz0ojc,o47hjrr,o47hrka,2026-02-08 05:38:38+00:00,2026-02-08 05:40:28+00:00,seller_confirmed,high,1.0
zenpathfinder,Unruly_archetype,1qz0ojc,o47hr5g,o47i30k,2026-02-08 05:40:21+00:00,2026-02-08 05:43:04+00:00,seller_confirmed,high,1.0
zenpathfinder,Loud_Movie_8484,1qz0ojc,o47kr92,o47l0o7,2026-02-08 06:05:37+00:00,2026-02-08 06:07:52+00:00,seller_confirmed,high,1.0
zenpathfinder,Keebler_elf2,1qz0ojc,o495nme,o4a07xw,2026-02-08 14:10:04+00:00,2026-02-08 16:49:32+00:00,seller_confirmed,high,1.0
Objective_Level6025,ElPavo,1qyxi44,o46v55o,o4713rt,2026-02-08 02:59:35+00:00,2026-02-08 03:38:23+00:00,seller_confirmed,high,1.0
Objective_Level6025,a3quit4s_,1qyxi44,o46vb65,o470ujl,2026-02-08 03:00:39+00:00,2026-02-08 03:36:44+00:00,seller_confirmed,high,1.0
Objective_Level6025,throwawaysandlot2020,1qyxi44,o46vbhz,o472q14,2026-02-08 03:00:43+00:00,2026-02-08 03:49:10+00:00,seller_confirmed,high,1.0
Objective_Level6025,bangers-mash,1qyxi44,o46we66,o472wpc,2026-02-08 03:07:32+00:00,2026-02-08 03:50:24+00:00,seller_confirmed,high,1.0
Objective_Level6025,No-Square8315,1qyxi44,o46xs09,o4782ic,2026-02-08 03:16:31+00:00,2026-02-08 04:26:11+00:00,seller_confirmed,high,1.0
Objective_Level6025,badcompanyKT,1qyxi44,o46yfyj,o4780v4,2026-02-08 03:20:52+00:00,2026-02-08 04:25:51+00:00,seller_confirmed,high,1.0
